date,pjm_pv_jeremy_scaled
42446.25,0.17391626
42446.29,0.401458225
42446.33,0.462487968
42446.37,0.516445282
42446.42,0.636302096
42446.46,0.739167098
42446.5,0.645061865
42446.54,0.603467621
42446.58,0.456700891
42446.62,0.475132532
42446.67,0.358058945
42446.71,0.082490463
42446.75,0
42446.79,0
42446.83,0
42446.87,0
42446.92,0
42446.96,0
42447,0
42447.04,0
42447.08,0
42447.12,0
42447.17,0
42447.21,0
42447.25,0.294754203
42447.29,0.470253977
42447.33,0.649936216
42447.37,0.720612761
42447.42,0.609262198
42447.46,0.506928184
42447.5,0.556268973
42447.54,0.648478845
42447.58,0.422168441
42447.62,0.241338226
42447.67,0.3781703
42447.71,0.051537973
42447.75,0
42447.79,0
42447.83,0
42447.87,0
42447.92,0
42447.96,0
42448,0
42448.04,0
42448.08,0
42448.12,0
42448.17,0
42448.21,0
42448.25,0.444842196
42448.29,0.697924007
42448.33,0.815542291
42448.37,0.876899476
42448.42,0.796262736
42448.46,0.600131807
42448.5,0.452230771
42448.54,0.666518329
42448.58,0.713386552
42448.62,0.577340347
42448.67,0.471774571
42448.71,0.112885479
42448.75,0
42448.79,0
42448.83,0
42448.87,0
42448.92,0
42448.96,0
42449,0
42449.04,0
42449.08,0
42449.12,0
42449.17,0
42449.21,0
42449.25,0.09110312
42449.29,0.182395199
42449.33,0.292936887
42449.37,0.266911396
42449.42,0.289598666
42449.46,0.216571386
42449.5,0.252051777
42449.54,0.17091216
42449.58,0.1804958
42449.62,0.160170904
42449.67,0.084596938
42449.71,0.009095097
42449.75,0
42449.79,0
42449.83,0
42449.87,0
42449.92,0
42449.96,0
42450,0
42450.04,0
42450.08,0
42450.12,0
42450.17,0
42450.21,0
42450.25,0.086159623
42450.29,0.076827327
42450.33,0.148438495
42450.37,0.241744794
42450.42,0.249606375
42450.46,0.231002869
42450.5,0.222047014
42450.54,0.19302471
42450.58,0.090842819
42450.62,0.085797716
42450.67,0.04459926
42450.71,0.004914055
42450.75,0
42450.79,0
42450.83,0
42450.87,0
42450.92,0
42450.96,0
42451,0
42451.04,0
42451.08,0
42451.12,0
42451.17,0
42451.21,0
42451.25,0.38816221
42451.29,0.674067532
42451.33,0.818734878
42451.37,0.786967681
42451.42,0.726541019
42451.46,0.714126834
42451.5,0.715089061
42451.54,0.621074327
42451.58,0.615922501
42451.62,0.666487688
42451.67,0.551090798
42451.71,0.156273447
42451.75,0
42451.79,0
42451.83,0
42451.87,0
42451.92,0
42451.96,0
42452,0
42452.04,0
42452.08,0
42452.12,0
42452.17,0
42452.21,0
42452.25,0.323737445
42452.29,0.55561165
42452.33,0.695671827
42452.37,0.740573948
42452.42,0.832705582
42452.46,0.843719763
42452.5,0.879316654
42452.54,0.860266142
42452.58,0.789833408
42452.62,0.64052209
42452.67,0.436668244
42452.71,0.083786448
42452.75,0
42452.79,0
42452.83,0
42452.87,0
42452.92,0
42452.96,0
42453,0
42453.04,0
42453.08,0
42453.12,0
42453.17,0
42453.21,0
42453.25,0.162831982
42453.29,0.354767754
42453.33,0.461886437
42453.37,0.517995132
42453.42,0.658437702
42453.46,0.685826875
42453.5,0.693689561
42453.54,0.667471906
42453.58,0.655465204
42453.62,0.594995752
42453.67,0.441631459
42453.71,0.096033514
42453.75,0
42453.79,0
42453.83,0
42453.87,0
42453.92,0
42453.96,0
42454,0
42454.04,0
42454.08,0
42454.12,0
42454.17,0
42454.21,0
42454.25,0.306887187
42454.29,0.533673816
42454.33,0.673943057
42454.37,0.760209776
42454.42,0.784703083
42454.46,0.815006394
42454.5,0.787433446
42454.54,0.745873657
42454.58,0.633213388
42454.62,0.632567983
42454.67,0.451369569
42454.71,0.108438317
42454.75,0
42454.79,0
42454.83,0
42454.87,0
42454.92,0
42454.96,0
42455,0
42455.04,0
42455.08,0
42455.12,0
42455.17,0
42455.21,0
42455.25,0.062363076
42455.29,0.172405621
42455.33,0.277256022
42455.37,0.193770717
42455.42,0.252643443
42455.46,0.412319885
42455.5,0.400688796
42455.54,0.384326799
42455.58,0.349447123
42455.62,0.39063407
42455.67,0.264011189
42455.71,0.063224505
42455.75,0
42455.79,0
42455.83,0
42455.87,0
42455.92,0
42455.96,0
42456,0
42456.04,0
42456.08,0
42456.12,0
42456.17,0
42456.21,0
42456.25,0.455220626
42456.29,0.668289177
42456.33,0.80725593
42456.37,0.878354134
42456.42,0.879316654
42456.46,0.879316654
42456.5,0.879316654
42456.54,0.870814901
42456.58,0.818115951
42456.62,0.663035263
42456.67,0.481805423
