Date,Desert_NC
40675.62,0.047063918
40675.67,0.082728634
40675.71,0.048930941
40675.75,0.103571732
40675.79,0.183654488
40675.83,0.254154604
40675.87,0.266387665
40675.92,0.211604389
40675.96,0.134544166
40676,0.103098496
40676.04,0.096012567
40676.08,0.138130743
40676.12,0.14224678
40676.17,0.109986743
40676.21,0.102094234
40676.25,0.031366734
40676.29,0.010113572
40676.33,0.007678415
40676.37,0.007389869
40676.42,0.008230573
40676.46,0.007049778
40676.5,0.029388022
40676.54,0.017675844
40676.58,0.036070669
40676.62,0.161916709
40676.67,0.1473552
40676.71,0.163281664
40676.75,0.145932396
40676.79,0.123569019
40676.83,0.08973585
40676.87,0.062455093
40676.92,0.089032955
40676.96,0.123396873
40677,0.119014972
40677.04,0.245203167
40677.08,0.278351622
40677.12,0.177056018
40677.17,0.123106019
40677.21,0.243782144
40677.25,0.13530599
40677.29,0.06368956
40677.33,0.033273728
40677.37,0.02139695
40677.42,0.023268383
40677.46,0.056592477
40677.5,0.086023756
40677.54,0.216119299
40677.58,0.385937935
40677.62,0.470474412
40677.67,0.238982459
40677.71,0.42294037
40677.75,0.20075971
40677.79,0.413307473
40677.83,0.465795728
40677.87,0.56840265
40677.92,0.629604051
40677.96,0.048217908
40678,0.096940674
40678.04,0.264451339
40678.08,0.286926496
40678.12,0.316766894
40678.17,0.304318248
40678.21,0.266196052
40678.25,0.119089576
40678.29,0.082937818
40678.33,0.062639484
40678.37,0.068234804
40678.42,0.192176946
40678.46,0.186072413
40678.5,0.154429996
40678.54,0.124019388
40678.58,0.328143633
40678.62,0.305042495
40678.67,0.460084902
40678.71,0.348177817
40678.75,0.482217482
40678.79,0.487835972
40678.83,0.518398264
40678.87,0.509815933
40678.92,0.471300116
40678.96,0.456194072
40679,0.429110561
40679.04,0.287202484
40679.08,0.218103294
40679.12,0.199090612
40679.17,0.144398334
40679.21,0.075841406
40679.25,0.030050926
40679.29,0.005923655
40679.33,0.010411666
40679.37,0.073936248
40679.42,0.201452853
40679.46,0.274126062
40679.5,0.309331977
40679.54,0.247157896
40679.58,0.276730479
40679.62,0.321291444
40679.67,0.265677687
40679.71,0.211098416
40679.75,0.130343567
40679.79,0.245512795
40679.83,0.281971895
40679.87,0.241314859
40679.92,0.172012126
40679.96,0.137968667
40680,0.054725469
40680.04,0.009459708
40680.08,0.020679274
40680.12,0.239682986
40680.17,0.071573798
40680.21,0.064701075
40680.25,0.042725115
40680.29,0.116995151
40680.33,0.265931818
