Date,Power (MW per MW installed capacity)
39099.66667,0.290880966
39099.70833,0.298064911
39099.75,0.295637578
39099.79167,0.3131814
39099.83333,0.322134862
39099.875,0.353553351
39099.91667,0.375877653
39099.95833,0.359633564
39100,0.340107167
39100.04167,0.332548082
39100.08333,0.320714879
39100.125,0.313574438
39100.16667,0.309933014
39100.20833,0.327468413
39100.25,0.292570877
39100.29167,0.240542402
39100.33333,0.216122332
39100.375,0.183165912
39100.41667,0.165114569
39100.45833,0.155883535
39100.5,0.133656471
39100.54167,0.127579595
39100.58333,0.157637677
39100.625,0.178349354
39100.66667,0.1824767
39100.70833,0.178976748
39100.75,0.166715388
39100.79167,0.200593968
39100.83333,0.246941378
39100.875,0.290625548
39100.91667,0.281094873
39100.95833,0.261178931
39101,0.23231095
39101.04167,0.217996026
39101.08333,0.213049035
39101.125,0.2024146
39101.16667,0.196558316
39101.20833,0.200321249
39101.25,0.195520951
39101.29167,0.163056083
39101.33333,0.121631741
39101.375,0.078841383
39101.41667,0.068349747
39101.45833,0.063678487
39101.5,0.057567499
39101.54167,0.059129146
39101.58333,0.052499762
39101.625,0.041282822
39101.66667,0.047682211
39101.70833,0.054648877
39101.75,0.048656589
39101.79167,0.040429262
39101.83333,0.039227263
39101.875,0.040819277
39101.91667,0.03813518
39101.95833,0.03952073
39102,0.040731611
39102.04167,0.041797511
39102.08333,0.047670034
39102.125,0.050648135
39102.16667,0.055456875
39102.20833,0.057278569
39102.25,0.050901528
39102.29167,0.047922878
39102.33333,0.038803069
39102.375,0.030639975
39102.41667,0.026664154
39102.45833,0.028107684
39102.5,0.047205573
39102.54167,0.093869546
39102.58333,0.181934036
39102.625,0.252732805
39102.66667,0.318135258
39102.70833,0.353473641
39102.75,0.373929871
39102.79167,0.391896208
39102.83333,0.484000041
39102.875,0.562130723
39102.91667,0.576761087
39102.95833,0.556099266
39103,0.576615257
39103.04167,0.546219028
39103.08333,0.497703
39103.125,0.477637956
39103.16667,0.441714737
39103.20833,0.422099743
39103.25,0.414272421
39103.29167,0.428968077
39103.33333,0.447454869
39103.375,0.456595325
39103.41667,0.54868107
39103.45833,0.650307705
39103.5,0.705480525
39103.54167,0.711772431
39103.58333,0.680765056
39103.625,0.612330378
39103.66667,0.46427371
39103.70833,0.3831813
39103.75,0.321076029
39103.79167,0.318639758
39103.83333,0.340478152
39103.875,0.327221715
39103.91667,0.27393122
39103.95833,0.282153236
39104,0.258845472
39104.04167,0.253844292
39104.08333,0.238313093
39104.125,0.204131159
39104.16667,0.159836591
39104.20833,0.14326947
39104.25,0.120026605
39104.29167,0.09099184
39104.33333,0.073009666
39104.375,0.057311955
39104.41667,0.071190139
39104.45833,0.065787227
39104.5,0.063921958
39104.54167,0.065942454
39104.58333,0.064146098
39104.625,0.06078807
39104.66667,0.050993214
39104.70833,0.048387083
39104.75,0.055990918
39104.79167,0.059678809
39104.83333,0.073924121
39104.875,0.070600342
39104.91667,0.043227973
39104.95833,0.033204098
39105,0.031977853
39105.04167,0.031718761
39105.08333,0.03056405
39105.125,0.026668286
39105.16667,0.027312475
39105.20833,0.032424114
39105.25,0.04131056
39105.29167,0.04302733
39105.33333,0.037608991
39105.375,0.025998905
39105.41667,0.021389887
39105.45833,0.018008674
39105.5,0.016928913
39105.54167,0.018617994
39105.58333,0.02083037
39105.625,0.023659455
39105.66667,0.02782783
39105.70833,0.029908095
39105.75,0.033352895
39105.79167,0.036566917
39105.83333,0.040999198
39105.875,0.043893426
39105.91667,0.045305711
39105.95833,0.047926691
