Date,Radfords_Run_IL
39750.96,0.013164206
39751,0.040314731
39751.04,0.116669729
39751.08,0.181291129
39751.12,0.280131614
39751.17,0.434132034
39751.21,0.560948484
39751.25,0.677100996
39751.29,0.662163629
39751.33,0.431775901
39751.37,0.16542621
39751.42,0.094319245
39751.46,0.141332588
39751.5,0.199696738
39751.54,0.284774162
39751.58,0.291843287
39751.62,0.362247377
39751.67,0.593508312
39751.71,0.780756261
39751.75,0.833690144
39751.79,0.797279479
39751.83,0.790339104
39751.87,0.794613175
39751.92,0.794613175
39751.96,0.794613175
39752,0.782170672
39752.04,0.798111565
39752.08,0.793411541
39752.12,0.827099359
39752.17,0.834196232
39752.21,0.833351974
39752.25,0.815646221
39752.29,0.761517823
39752.33,0.350994549
39752.37,0.054200587
39752.42,0.037707491
39752.46,0.047654251
39752.5,0.056899404
39752.54,0.076416268
39752.58,0.088430512
39752.62,0.076226823
39752.67,0.211849951
39752.71,0.396989545
39752.75,0.506818182
39752.79,0.525393914
39752.83,0.715557653
39752.87,0.824571156
39752.92,0.826976787
39752.96,0.80433541
39753,0.767512266
39753.04,0.674477934
39753.08,0.502464708
39753.12,0.346357596
39753.17,0.289867474
39753.21,0.215500387
39753.25,0.122201429
39753.29,0.058370179
39753.33,0.020343682
39753.37,0
39753.42,0
39753.46,0
39753.5,0
39753.54,0
39753.58,0
39753.62,0
39753.67,0
39753.71,0
39753.75,0
39753.79,0
39753.83,0.024640447
39753.87,0.064401412
39753.92,0.025856164
39753.96,0.055772663
39754,0.098439737
39754.04,0.145283492
39754.08,0.346416321
39754.12,0.122941055
39754.17,0.27616485
39754.21,0.373385771
39754.25,0.419631883
39754.29,0.408582394
39754.33,0.271939104
39754.37,0.045162073
39754.42,0.043618259
39754.46,0.093171328
39754.5,0.15982274
39754.54,0.262163495
39754.58,0.381508173
39754.62,0.41311175
39754.67,0.429761365
39754.71,0.678653499
39754.75,0.771475819
39754.79,0.816439289
39754.83,0.823955881
39754.87,0.819273007
39754.92,0.822980028
39754.96,0.825528127
39755,0.79362635
39755.04,0.798722524
39755.08,0.801051381
39755.12,0.800337175
39755.17,0.736890463
39755.21,0.72975701
39755.25,0.702143925
39755.29,0.623413415
39755.33,0.26838231
39755.37,0.072948965
39755.42,0.064858333
39755.46,0.157547782
39755.5,0.263026349
39755.54,0.342057044
39755.58,0.403403069
39755.62,0.459519261
39755.67,0.568555781
39755.71,0.729534328
39755.75,0.824958889
39755.79,0.833618638
39755.83,0.828474627
39755.87,0.827323225
39755.92,0.823853459
39755.96,0.830899377
39756,0.833842316
39756.04,0.830509972
39756.08,0.81247728
39756.12,0.786209475
39756.17,0.726056246
39756.21,0.593785775
39756.25,0.516123646
39756.29,0.486537138
39756.33,0.267173539
39756.37,0.085794247
39756.42,0.012037282
39756.46,0.051563968
39756.5,0.128097372
39756.54,0.187026828
39756.58,0.295404242
39756.62,0.419275213
39756.67,0.491741415
39756.71,0.595588551
39756.75,0.717309502
39756.79,0.769989284
39756.83,0.806235163
39756.87,0.831695471
39756.92,0.832849587
39756.96,0.833325894
39757,0.831232386
39757.04,0.833983331
39757.08,0.834053861
39757.12,0.831322638
39757.17,0.832624249
39757.21,0.824454567
39757.25,0.820871214
39757.29,0.778364348
39757.33,0.615330615
39757.37,0.346628113
39757.42,0.394557233
39757.46,0.578911617
39757.5,0.712201489
39757.54,0.759683478
39757.58,0.755769662
39757.62,0.762303579
39757.67,0.748416643
39757.71,0.831485597
39757.75,0.814815164
39757.79,0.823175416
39757.83,0.827936871
39757.87,0.828253037
39757.92,0.828478095
39757.96,0.82006962
39758,0.797577567
39758.04,0.793571667
39758.08,0.824428303
39758.12,0.821155032
39758.17,0.829430752
39758.21,0.830368757
39758.25,0.831951303
39758.29,0.809784663
39758.33,0.792764252
39758.37,0.807651813
39758.42,0.824476258
39758.46,0.787360266
39758.5,0.726564723
39758.54,0.486200981
39758.58,0.269915304
39758.62,0.225519139
39758.67,0.246473486
39758.71,0.451592291
39758.75,0.492624117
39758.79,0.429522273
39758.83,0.733544291
39758.87,0.689543234
39758.92,0.583860932
39758.96,0.61161605
39759,0.647418621
39759.04,0.693211774
39759.08,0.612287861
39759.12,0.606685704
39759.17,0.700558755
39759.21,0.652872827
39759.25,0.615163936
39759.29,0.564506722
39759.33,0.3925252
39759.37,0.430096702
39759.42,0.511816187
39759.46,0.554349606
39759.5,0.626185785
39759.54,0.6449779
39759.58,0.675440014
39759.62,0.691901739
39759.67,0.71362181
39759.71,0.72599975
39759.75,0.665483779
39759.79,0.703322023
39759.83,0.66248393
39759.87,0.67974694
39759.92,0.782645408
39759.96,0.781140411
39760,0.752973721
39760.04,0.705618595
39760.08,0.719296502
39760.12,0.694755595
39760.17,0.652664177
39760.21,0.668409249
39760.25,0.583159929
39760.29,0.564609918
39760.33,0.480340786
39760.37,0.469311656
39760.42,0.50783617
39760.46,0.525094065
39760.5,0.567694203
39760.54,0.565861577
39760.58,0.566289394
39760.62,0.474830741
39760.67,0.563668349
39760.71,0.681402258
39760.75,0.708985695
39760.79,0.62409836
39760.83,0.584950991
39760.87,0.582541311
39760.92,0.63415495
39760.96,0.54490085
39761,0.567093305
39761.04,0.488655654
39761.08,0.402719949
39761.12,0.412501277
39761.17,0.37150559
39761.21,0.377493308
39761.25,0.331816484
39761.29,0.34598096
39761.33,0.243586989
39761.37,0.218053874
39761.42,0.19426952
39761.46,0.241117926
39761.5,0.323428701
39761.54,0.346647204
39761.58,0.3854766
39761.62,0.425636165
39761.67,0.283407297
39761.71,0.42877305
39761.75,0.633157012
39761.79,0.537180295
39761.83,0.497553169
39761.87,0.399029213
39761.92,0.384549241
39761.96,0.3160451
39762,0.211143175
39762.04,0.18753421
39762.08,0.187630422
39762.12,0.168695414
39762.17,0.122214742
39762.21,0.115636812
39762.25,0.092863713
39762.29,0.025721052
39762.33,0.00329392
39762.37,0
39762.42,0
39762.46,0
39762.5,0
39762.54,0
39762.58,0
39762.62,0
39762.67,0
39762.71,0
39762.75,0
39762.79,0.003312197
39762.83,0.011866627
39762.87,0.01795363
