date,pjm_pv_jeremy_3_28
40701.29,0.234027892
40701.33,0.376986285
40701.37,0.492437117
40701.42,0.557342873
40701.46,0.599687207
40701.5,0.61204152
40701.54,0.658698706
40701.58,0.625780164
40701.62,0.560867216
40701.67,0.42341292
40701.71,0.267965457
40701.75,0.109589077
40701.79,0.026568456
40701.83,0
40701.87,0
40701.92,0
40701.96,0
40702,0
40702.04,0
40702.08,0
40702.12,0
40702.17,0
40702.21,0.012237485
40702.25,0.098823336
40702.29,0.271046544
40702.33,0.454276231
40702.37,0.604394975
40702.42,0.71553418
40702.46,0.766900829
40702.5,0.78246714
40702.54,0.766332312
40702.58,0.715105153
40702.62,0.621810371
40702.67,0.482012759
40702.71,0.304088545
40702.75,0.120725481
40702.79,0.025778415
40702.83,0
40702.87,0
40702.92,0
40702.96,0
40703,0
40703.04,0
40703.08,0
40703.12,0
40703.17,0
40703.21,0.012560661
40703.25,0.093148157
40703.29,0.265211163
40703.33,0.43790105
40703.37,0.576684152
40703.42,0.677406273
40703.46,0.749939644
40703.5,0.769268462
40703.54,0.717792792
40703.58,0.686035534
40703.62,0.593420768
40703.67,0.445046539
40703.71,0.248631611
40703.75,0.102929142
40703.79,0.017346715
40703.83,0
40703.87,0
40703.92,0
40703.96,0
40704,0
40704.04,0
40704.08,0
40704.12,0
40704.17,0
40704.21,0.01055872
40704.25,0.090321206
40704.29,0.266572139
40704.33,0.434267726
40704.37,0.592440751
40704.42,0.684920908
40704.46,0.697917054
40704.5,0.657802636
40704.54,0.713188344
40704.58,0.663156305
40704.62,0.596540512
40704.67,0.444470553
40704.71,0.278607317
40704.75,0.114325809
40704.79,0.025245473
40704.83,0
40704.87,0
40704.92,0
40704.96,0
40705,0
40705.04,0
40705.08,0
40705.12,0
40705.17,0
40705.21,0.005175558
40705.25,0.05447866
40705.29,0.137806225
40705.33,0.318483845
40705.37,0.413241667
40705.42,0.502426484
40705.46,0.594021467
40705.5,0.625866647
40705.54,0.544303017
40705.58,0.483955876
40705.62,0.37478819
40705.67,0.288830108
40705.71,0.173172473
40705.75,0.095462306
40705.79,0.01876543
40705.83,0
40705.87,0
40705.92,0
40705.96,0
40706,0
40706.04,0
40706.08,0
40706.12,0
40706.17,0
40706.21,0.012106615
40706.25,0.064599987
40706.29,0.181160682
40706.33,0.285389271
40706.37,0.381154055
40706.42,0.527710405
40706.46,0.653290768
40706.5,0.682223733
40706.54,0.559771238
40706.58,0.601232963
40706.62,0.454101881
40706.67,0.306469997
40706.71,0.25332427
40706.75,0.117350471
40706.79,0.027769336
40706.83,0
40706.87,0
40706.92,0
40706.96,0
40707,0
40707.04,0
40707.08,0
40707.12,0
40707.17,0
40707.21,0.017221557
40707.25,0.089734393
40707.29,0.289030764
40707.33,0.470103121
40707.37,0.552251398
40707.42,0.663662836
40707.46,0.698698258
40707.5,0.791696546
40707.54,0.712635442
40707.58,0.65515484
40707.62,0.520692948
40707.67,0.446918454
40707.71,0.322484864
40707.75,0.116686719
40707.79,0.029406153
40707.83,0
40707.87,0
40707.92,0
40707.96,0
40708,0
40708.04,0
40708.08,0
40708.12,0
40708.17,0
40708.21,0.016642187
40708.25,0.084497695
40708.29,0.299721117
40708.33,0.46435697
40708.37,0.569644953
40708.42,0.459694861
40708.46,0.483968971
40708.5,0.450249125
40708.54,0.512347105
40708.58,0.355526613
40708.62,0.438751968
40708.67,0.413670911
40708.71,0.278255753
40708.75,0.108392394
40708.79,0.025025388
40708.83,0
40708.87,0
40708.92,0
40708.96,0
40709,0
40709.04,0
40709.08,0
40709.12,0
40709.17,0
40709.21,0.016027142
40709.25,0.083279594
40709.29,0.30555621
40709.33,0.515060307
40709.37,0.65566947
40709.42,0.762876663
40709.46,0.815964065
40709.5,0.819222893
40709.54,0.79258015
40709.58,0.743139791
40709.62,0.645943339
40709.67,0.495487295
40709.71,0.312727301
40709.75,0.12196666
40709.79,0.029952659
40709.83,0
40709.87,0
40709.92,0
40709.96,0
40710,0
40710.04,0
40710.08,0
40710.12,0
40710.17,0
40710.21,0.011026148
40710.25,0.076707684
40710.29,0.152594669
40710.33,0.260976141
40710.37,0.378353704
40710.42,0.440738538
40710.46,0.528388384
40710.5,0.448128791
40710.54,0.452536041
40710.58,0.465109944
40710.62,0.297815477
40710.67,0.256959244
40710.71,0.115517127
40710.75,0.062110427
40710.79,0.020721192
40710.83,0
40710.87,0
40710.92,0
40710.96,0
40711,0
40711.04,0
40711.08,0
40711.12,0
40711.17,0
40711.21,0.012433378
40711.25,0.06548468
40711.29,0.137012384
40711.33,0.319158211
40711.37,0.470492856
40711.42,0.576576865
40711.46,0.674807904
40711.5,0.68357165
40711.54,0.571559861
40711.58,0.503100037
40711.62,0.396167818
40711.67,0.371291616
40711.71,0.286689459
40711.75,0.124267707
40711.79,0.030175607
40711.83,0
40711.87,0
40711.92,0
40711.96,0
40712,0
40712.04,0
40712.08,0
40712.12,0
40712.17,0
40712.21,0.010835882
40712.25,0.075340711
40712.29,0.229255936
40712.33,0.348795858
40712.37,0.477651351
40712.42,0.561321851
40712.46,0.666070293
40712.5,0.671035767
40712.54,0.688703842
40712.58,0.573852113
40712.62,0.446604242
40712.67,0.322934071
40712.71,0.237855308
40712.75,0.102446816
40712.79,0.024975568
40712.83,0
40712.87,0
40712.92,0
40712.96,0
40713,0
40713.04,0
40713.08,0
40713.12,0
40713.17,0
40713.21,0.010251616
40713.25,0.079054751
40713.29,0.182278044
40713.33,0.288749856
40713.37,0.448353258
40713.42,0.445421665
40713.46,0.497882414
40713.5,0.5142451
40713.54,0.532325463
40713.58,0.582040503
40713.62,0.504708293
40713.67,0.35670574
40713.71,0.235296701
40713.75,0.110984266
40713.79,0.030906566
40713.83,0
40713.87,0
40713.92,0
40713.96,0
40714,0
40714.04,0
40714.08,0
40714.12,0
40714.17,0
40714.21,0.007943461
40714.25,0.06687604
40714.29,0.116012916
40714.33,0.15422787
40714.37,0.297790041
40714.42,0.465032994
40714.46,0.516065633
40714.5,0.557659918
40714.54,0.669131202
40714.58,0.622038057
40714.62,0.544358916
40714.67,0.425135252
40714.71,0.235536562
40714.75,0.120424869
40714.79,0.025393206
40714.83,0
40714.87,0
40714.92,0
40714.96,0
40715,0
40715.04,0
40715.08,0
40715.12,0
40715.17,0
40715.21,0.002895828
40715.25,0.037747576
40715.29,0.14225283
40715.33,0.197968946
40715.37,0.36981994
40715.42,0.557718916
40715.46,0.572339163
40715.5,0.630463415
40715.54,0.690238712
40715.58,0.664928536
40715.62,0.545047572
40715.67,0.452247832
40715.71,0.293000409
40715.75,0.125913594
40715.79,0.029792255
40715.83,0
40715.87,0
40715.92,0
40715.96,0
40716,0
40716.04,0
40716.08,0
40716.12,0
40716.17,0
40716.21,0.011909128
40716.25,0.078304291
40716.29,0.200728921
40716.33,0.372266834
40716.37,0.494204136
40716.42,0.615263755
40716.46,0.662334238
40716.5,0.64436596
40716.54,0.622841821
40716.58,0.566392093
40716.62,0.520123386
40716.67,0.354863711
40716.71,0.292511438
40716.75,0.118442345
40716.79,0.030681438
40716.83,0
40716.87,0
40716.92,0
40716.96,0
40717,0
40717.04,0
40717.08,0
40717.12,0
40717.17,0
40717.21,0.009727886
40717.25,0.042277204
40717.29,0.176008465
40717.33,0.257919406
40717.37,0.381530103
40717.42,0.40126362
40717.46,0.508100747
40717.5,0.540646374
40717.54,0.60436308
40717.58,0.497310761
40717.62,0.342764415
40717.67,0.294979853
40717.71,0.229724291
40717.75,0.103021189
40717.79,0.021199806
40717.83,0
40717.87,0
40717.92,0
40717.96,0
40718,0
40718.04,0
40718.08,0
40718.12,0
40718.17,0
40718.21,0.01241269
40718.25,0.067517915
40718.29,0.211970842
40718.33,0.369452086
40718.37,0.432345761
40718.42,0.497206808
40718.46,0.510398189
40718.5,0.555360217
40718.54,0.46925282
40718.58,0.632294924
40718.62,0.599652801
40718.67,0.382926253
40718.71,0.275627348
40718.75,0.123088559
40718.79,0.031099549
40718.83,0
40718.87,0
40718.92,0
40718.96,0
40719,0
40719.04,0
40719.08,0
40719.12,0
40719.17,0
40719.21,0.014701836
40719.25,0.073018797
40719.29,0.2511541
40719.33,0.430916527
40719.37,0.497487483
40719.42,0.581632535
40719.46,0.472189382
40719.5,0.438766861
40719.54,0.51657369
40719.58,0.443996007
40719.62,0.355815796
40719.67,0.235409705
40719.71,0.231671275
40719.75,0.113526469
40719.79,0.031169163
40719.83,0
40719.87,0
40719.92,0
40719.96,0
40720,0
40720.04,0
40720.08,0
40720.12,0
40720.17,0
40720.21,0.012546987
40720.25,0.072556237
