date,util_pv_pjm
42672.08,0.026070252
42672.12,0.025795829
42672.17,0.025246981
42672.21,0.026070252
42672.25,0.025795829
42672.29,0.173161361
42672.33,0.488748628
42672.37,0.688529089
42672.42,0.79363337
42672.46,0.833699232
42672.5,0.8564764
42672.54,0.829034029
42672.58,0.66273326
42672.62,0.43413831
42672.67,0.101536773
42672.71,0.026344676
42672.75,0.0266191
42672.79,0.026070252
42672.83,0.026344676
42672.87,0.0266191
42672.92,0.0266191
42672.96,0.026344676
42673,0.0266191
42673.04,0.025795829
42673.08,0.027167947
42673.12,0.027167947
42673.17,0.026893524
42673.21,0.027167947
42673.25,0.026893524
42673.29,0.111964874
42673.33,0.526070252
42673.37,0.719813392
42673.42,0.743413831
42673.46,0.844401756
42673.5,0.728869374
42673.54,0.673984632
42673.58,0.600987925
42673.62,0.322173436
42673.67,0.077113063
42673.71,0.0266191
42673.75,0.0266191
42673.79,0.027167947
42673.83,0.026344676
42673.87,0.0266191
42673.92,0.027167947
42673.96,0.026893524
42674,0.0266191
42674.04,0.026893524
42674.08,0.0266191
42674.12,0.027167947
42674.17,0.027167947
42674.21,0.026893524
42674.25,0.026070252
42674.29,0.124588364
42674.33,0.547200878
42674.37,0.785400659
42674.42,0.863062569
42674.46,0.990669594
42674.5,0.854555434
42674.54,0.75740944
42674.58,0.610318332
42674.62,0.327387486
42674.67,0.093029638
42674.71,0.027167947
42674.75,0.027167947
42674.79,0.026070252
42674.83,0.026893524
42674.87,0.026344676
42674.92,0.026893524
42674.96,0.0266191
42675,0.026893524
42675.04,0.0266191
42675.08,0.026893524
42675.12,0.026344676
42675.17,0.027167947
42675.21,0.026893524
42675.25,0.026893524
42675.29,0.097145993
42675.33,0.332601537
42675.37,0.462952799
42675.42,0.597420417
42675.46,0.544731065
42675.5,0.516739846
42675.54,0.496432492
42675.58,0.447585071
42675.62,0.229143798
42675.67,0.037596048
42675.71,0.027167947
42675.75,0.027167947
42675.79,0.027167947
42675.83,0.027167947
42675.87,0.027167947
42675.92,0.027167947
42675.96,0.026344676
42676,0.0266191
42676.04,0.027167947
42676.08,0.027167947
42676.12,0.027167947
42676.17,0.027167947
42676.21,0.027167947
42676.25,0.027167947
42676.29,0.089736553
42676.33,0.351811196
42676.37,0.552963776
42676.42,0.767288694
42676.46,0.888583974
42676.5,0.863611416
42676.54,0.79363337
42676.58,0.707464325
42676.62,0.41273326
42676.67,0.077113063
42676.71,0
42676.75,0
42676.79,0
42676.83,0
42676.87,0
42676.92,0
42676.96,0
42677,0
42677.04,0
42677.08,0.000548847
42677.12,0.000274424
42677.17,0
42677.21,0
42677.25,0
42677.29,0.084248079
42677.33,0.257683864
42677.37,0.492316136
42677.42,0.562568606
42677.46,0.622118551
42677.5,0.537596048
42677.54,0.515916575
42677.58,0.427552141
42677.62,0.225301866
42677.67,0.053512623
42677.71,0
42677.75,0
42677.79,0
42677.83,0
42677.87,0
42677.92,0
42677.96,0
42678,0
42678.04,0.000274424
42678.08,0.000548847
42678.12,0.000823271
42678.17,0
42678.21,0
42678.25,0.000274424
42678.29,0.035675082
42678.33,0.382821076
42678.37,0.779637761
42678.42,0.902030735
42678.46,0.96377607
42678.5,0.873216246
42678.54,0.775521405
42678.58,0.781558727
42678.62,0.576564215
42678.67,0.082601537
42678.71,0
42678.75,0
42678.79,0
42678.83,0
42678.87,0
42678.92,0
42678.96,0
42679,0
42679.04,0
42679.08,0
42679.12,0
42679.17,0
42679.21,0
42679.25,0.000274424
42679.29,0.118002195
42679.33,0.71597146
42679.37,0.928649835
42679.42,0.972283205
42679.46,0.99039517
42679.5,0.984906696
42679.54,0.936333699
42679.58,0.847694841
42679.62,0.594950604
42679.67,0.102908891
42679.71,0.005488474
