Date,Blue_Creek_OH
39120.33,0.164109676
39120.37,0.032434312
39120.42,0.062466242
39120.46,0.13185067
39120.5,0.259538671
39120.54,0.305950692
39120.58,0.330444849
39120.62,0.394992625
39120.67,0.431713438
39120.71,0.3924298
39120.75,0.320808814
39120.79,0.37488075
39120.83,0.262622837
39120.87,0.328027378
39120.92,0.462265094
39120.96,0.498581998
39121,0.549687097
39121.04,0.614777195
39121.08,0.612544712
39121.12,0.614018159
39121.17,0.515426271
39121.21,0.266418307
39121.25,0.397755445
39121.29,0.371617879
39121.33,0.22468605
39121.37,0.099890106
39121.42,0.108741201
39121.46,0.179517563
39121.5,0.278043262
39121.54,0.332279929
39121.58,0.389470511
39121.62,0.450270877
39121.67,0.476900071
39121.71,0.463028694
39121.75,0.563478202
39121.79,0.546012166
39121.83,0.534052464
39121.87,0.573420284
39121.92,0.572596584
39121.96,0.4979749
39122,0.479687986
39122.04,0.47737642
39122.08,0.405416984
39122.12,0.408337422
39122.17,0.362154828
39122.21,0.226635441
39122.25,0.109216075
39122.29,0.035737704
39122.33,0.018645263
39122.37,0.011154761
39122.42,0.010409085
39122.46,0.008904866
39122.5,0.01947193
39122.54,0.040145244
39122.58,0.037731078
39122.62,0.033582732
39122.67,0.048164333
39122.71,0.099679798
39122.75,0.149738655
39122.79,0.147053489
39122.83,0.287031567
39122.87,0.366289433
39122.92,0.376232202
39122.96,0.315920162
39123,0.334549424
39123.04,0.441887858
39123.08,0.486621238
39123.12,0.502628206
39123.17,0.48736194
39123.21,0.469211042
39123.25,0.487356936
39123.29,0.538669676
39123.33,0.405531325
39123.37,0.183361699
39123.42,0.201960453
39123.46,0.163913177
39123.5,0.112932474
39123.54,0.085131994
39123.58,0.107926504
39123.62,0.139509525
39123.67,0.17608357
39123.71,0.257325771
39123.75,0.372729171
39123.79,0.390407515
39123.83,0.3746449
39123.87,0.331770863
39123.92,0.328783838
39123.96,0.379973942
39124,0.339551696
39124.04,0.264799444
39124.08,0.18355441
39124.12,0.186910561
39124.17,0.186493468
39124.21,0.185390181
39124.25,0.210501816
39124.29,0.21697249
39124.33,0.185649337
39124.37,0.194629692
39124.42,0.188120615
