Date,NREL_wind_scaled
39092.67,0.511059961
39092.71,0.604100263
39092.75,0.663070291
39092.79,0.673242976
39092.83,0.66630006
39092.87,0.673923444
39092.92,0.688156481
39092.96,0.685811829
39093.00,0.649479818
39093.04,0.658020599
39093.08,0.624230549
39093.12,0.610332424
39093.17,0.601495408
39093.21,0.612111914
39093.25,0.619972239
39093.29,0.638338581
39093.33,0.639744478
39093.37,0.627662759
39093.42,0.603798702
39093.46,0.601874427
39093.50,0.598416375
39093.54,0.593477568
39093.58,0.622209554
39093.62,0.650492463
39093.67,0.69723173
39093.71,0.711843493
39093.75,0.732176165
39093.79,0.735156275
39093.83,0.732121096
39093.87,0.743487673
39093.92,0.746136324
39093.96,0.74483049
39094.00,0.736674224
39094.04,0.71828855
39094.08,0.659483906
39094.12,0.648062497
39094.17,0.628240566
39094.21,0.59068253
39094.25,0.577735611
39094.29,0.566063332
39094.33,0.518507526
39094.37,0.485997739
39094.42,0.460428789
39094.46,0.419387756
39094.50,0.399768005
39094.54,0.365735652
39094.58,0.359014318
39094.62,0.360456077
39094.67,0.344215116
39094.71,0.350515544
39094.75,0.355460408
39094.79,0.351473407
39094.83,0.334003003
39094.87,0.318616778
39094.92,0.317674087
39094.96,0.2968685
39095.00,0.274385532
39095.04,0.273507766
39095.08,0.267378437
39095.12,0.241142024
39095.17,0.279779752
39095.21,0.293712218
39095.25,0.291614659
39095.29,0.287894799
39095.33,0.278547273
39095.37,0.2548593
39095.42,0.245296198
39095.46,0.229607209
39095.50,0.213291683
39095.54,0.187619102
39095.58,0.158941579
39095.62,0.164150564
39095.67,0.156427297
39095.71,0.148960372
39095.75,0.124988609
39095.79,0.099765287
39095.83,0.093694601
39095.87,0.094042514
39095.92,0.093898138
39095.96,0.089278583
39096.00,0.084853362
39096.04,0.084786862
39096.08,0.084709597
39096.12,0.098340315
39096.17,0.117144531
39096.21,0.134007718
39096.25,0.128267284
39096.29,0.127477844
39096.33,0.142179446
39096.37,0.172975119
39096.42,0.142934919
39096.46,0.151267774
39096.50,0.157970785
39096.54,0.150068464
39096.58,0.14132364
39096.62,0.124868378
39096.67,0.131321702
39096.71,0.202406464
39096.75,0.239930855
39096.79,0.228783221
39096.83,0.237676668
39096.87,0.279195476
39096.92,0.238671121
39096.96,0.229042448
39097.00,0.231146675
39097.04,0.317284355
39097.08,0.296067185
39097.12,0.270869207
39097.17,0.263627982
39097.21,0.250895727
39097.25,0.286753792
39097.29,0.297216579
39097.33,0.29118079
39097.37,0.321655291
39097.42,0.321755336
39097.46,0.348919667
39097.50,0.394108103
39097.54,0.418518279
39097.58,0.451092635
39097.62,0.447215461
39097.67,0.453947063
39097.71,0.458871601
39097.75,0.511760773
39097.79,0.460267807
39097.83,0.455070424
39097.87,0.433491267
39097.92,0.44972867
39097.96,0.453547078
39098.00,0.429670989
39098.04,0.445842212
39098.08,0.436990804
39098.12,0.442140317
39098.17,0.428724156
39098.21,0.424593292
39098.25,0.40958734
39098.29,0.397751592
39098.33,0.380353746
39098.37,0.358953607
39098.42,0.325829255
39098.46,0.31510273
39098.50,0.305879627
39098.54,0.300522485
39098.58,0.300069528
39098.62,0.296237335
39098.67,0.282803808
39098.71,0.287513247
39098.75,0.289468614
39098.79,0.277026388
39098.83,0.25027368
39098.87,0.209284047
39098.92,0.187448495
39098.96,0.177000627
39099.00,0.166400744
39099.04,0.155016248
39099.08,0.168914333
39099.12,0.149715662
39099.17,0.161592391
39099.21,0.16155936
39099.25,0.167821602
39099.29,0.146234845
39099.33,0.142454888
39099.37,0.097324937
39099.42,0.070620787
39099.46,0.077819423
39099.50,0.062776902
39099.54,0.062812436
39099.58,0.069115522
39099.62,0.077796486
39099.67,0.10400029
39099.71,0.157549751
39099.75,0.227840629
39099.79,0.303324037
39099.83,0.350938898
39099.87,0.368645258
39099.92,0.387883393
39099.96,0.43477499
39100.00,0.437421243
39100.04,0.414214614
39100.08,0.406727703
39100.12,0.417755906
39100.17,0.404074371
39100.21,0.395769211
39100.25,0.398977452
39100.29,0.430575805
39100.33,0.40870691
39100.37,0.342236571
39100.42,0.306340338
39100.46,0.346765086
39100.50,0.391705417
39100.54,0.427930598
39100.58,0.441203592
39100.62,0.433664818
39100.67,0.48181537
39100.71,0.563562218
39100.75,0.584207105
39100.79,0.589958139
39100.83,0.605960217
39100.87,0.5694829
39100.92,0.576740956
39100.96,0.670250219
39101.00,0.636249912
39101.04,0.616472403
39101.08,0.617289006
39101.12,0.60611284
39101.17,0.605745452
39101.21,0.564053031
39101.25,0.554034653
39101.29,0.551174444
39101.33,0.505426522
39101.37,0.447311576
39101.42,0.430536651
39101.46,0.446085975
39101.50,0.475337083
39101.54,0.489779013
39101.58,0.509613159
39101.62,0.513233459
39101.67,0.538695369
39101.71,0.558786208
39101.75,0.590682372
39101.79,0.589836323
39101.83,0.568229261
39101.87,0.555403027
39101.92,0.567519608
39101.96,0.518838813
39102.00,0.481265051
39102.04,0.436405399
39102.08,0.395613447
39102.12,0.351599895
39102.17,0.312063227
39102.21,0.291374045
39102.25,0.270129583
39102.29,0.258500122
39102.33,0.237122397
39102.37,0.215650299
39102.42,0.213832354
39102.46,0.214067169
39102.50,0.212860036
39102.54,0.21450186
39102.58,0.217314
39102.62,0.219122653
39102.67,0.211181802
39102.71,0.222252518
39102.75,0.226153604
39102.79,0.234551618
39102.83,0.226674927
39102.87,0.213870206
39102.92,0.202985626
39102.96,0.212543432
39103.00,0.217581583
39103.04,0.190195437
39103.08,0.206631232
39103.12,0.22534283
39103.17,0.229687487
39103.21,0.246230186
39103.25,0.267149228
39103.29,0.276364176
39103.33,0.245811254
39103.37,0.191908949
39103.42,0.166693405
39103.46,0.129966689
39103.50,0.097982818
39103.54,0.079029497
39103.58,0.067653083
39103.62,0.060267574
39103.67,0.059471062
39103.71,0.060691983
39103.75,0.056139545
39103.79,0.057150747
39103.83,0.057779778
39103.87,0.052921165
39103.92,0.056378311
39103.96,0.067962553
39104.00,0.078700467
39104.04,0.103652726
39104.08,0.138307332
39104.12,0.156037089
39104.17,0.173751267
39104.21,0.158072399
39104.25,0.132800495
39104.29,0.127660833
39104.33,0.094526451
39104.37,0.058013291
39104.42,0.048503959
39104.46,0.050682896
39104.50,0.06703165
39104.54,0.093657245
39104.58,0.122480836
39104.62,0.159696232
39104.67,0.225581414
39104.71,0.357083841
39104.75,0.425065368
39104.79,0.475676589
39104.83,0.476885749
39104.87,0.501341447
39104.92,0.499802646
39104.96,0.537570893
39105.00,0.531744303
39105.04,0.546793058
39105.08,0.541926658
39105.12,0.549313147
39105.17,0.557730053
39105.21,0.548004458
39105.25,0.558030091
39105.29,0.572450371
39105.33,0.519355621
39105.37,0.418804244
39105.42,0.373079068
39105.46,0.359405978
39105.50,0.367585951
39105.54,0.358469144
39105.58,0.363165497
39105.62,0.348890759
39105.67,0.325514662
39105.71,0.382556289
39105.75,0.385856673
39105.79,0.368784517
39105.83,0.335272523
39105.87,0.316016736
39105.92,0.310884488
39105.96,0.26486443
39106.00,0.218136571
39106.04,0.196137395
39106.08,0.177347512
39106.12,0.155253774
39106.17,0.132007596
39106.21,0.116363929
39106.25,0.112379209
39106.29,0.128951385
39106.33,0.112884021
39106.37,0.064344273
39106.42,0.044662268
39106.46,0.047943646
39106.50,0.055373146
39106.54,0.072064435
39106.58,0.100163256
39106.62,0.128147023
39106.67,0.177982775
39106.71,0.311931133
39106.75,0.401859685
39106.79,0.479199706
39106.83,0.461495214
39106.87,0.462922245
39106.92,0.4487198
39106.96,0.427396422
39107.00,0.401947348
39107.04,0.397002309
39107.08,0.364127285
39107.12,0.329698012
39107.17,0.337591165
39107.21,0.349825646
39107.25,0.377381853
39107.29,0.377249766
39107.33,0.31584559
39107.37,0.257163553
39107.42,0.252538268
39107.46,0.275893626
39107.50,0.288056215
39107.54,0.300471718
39107.58,0.305096928
39107.62,0.299302861
39107.67,0.284954914
39107.71,0.308053001
39107.75,0.307603823
39107.79,0.298698729
39107.83,0.285798337
39107.87,0.279656057
39107.92,0.263938041
39107.96,0.294333702
39108.00,0.336661521
39108.04,0.408400195
39108.08,0.48794066
39108.12,0.557676643
39108.17,0.609525837
39108.21,0.646086417
39108.25,0.675419546
39108.29,0.700084635
39108.33,0.695563967
39108.37,0.666036628
39108.42,0.634644034
39108.46,0.644637671
39108.50,0.657864128
39108.54,0.692188457
39108.58,0.706556124
39108.62,0.705959939
39108.67,0.69828712
39108.71,0.711689843
39108.75,0.724296402
39108.79,0.718530039
39108.83,0.720010886
39108.87,0.703168044
39108.92,0.709653991
39108.96,0.70012816
39109.00,0.687583901
39109.04,0.686142269
39109.08,0.681077898
39109.12,0.686623429
39109.17,0.682727989
39109.21,0.63946306
39109.25,0.595701311
39109.29,0.572546749
39109.33,0.528052613
39109.37,0.481199857
39109.42,0.451932349
39109.46,0.473408148
39109.50,0.472171867
39109.54,0.532515896
39109.58,0.572411855
39109.62,0.589195945
39109.67,0.62458775
39109.71,0.635289349
39109.75,0.692260557
39109.79,0.678336676
39109.83,0.695691539
39109.87,0.647367424
39109.92,0.616939723
39109.96,0.569551428
39110.00,0.537948682
39110.04,0.497833323
39110.08,0.482207893
39110.12,0.457758875
39110.17,0.409272089
39110.21,0.428293312
39110.25,0.430023566
39110.29,0.479221861
39110.33,0.499994057
39110.37,0.501395821
39110.42,0.492405204
39110.46,0.531534388
39110.50,0.586772282
39110.54,0.58780312
39110.58,0.576666317
39110.62,0.550656164
39110.67,0.529263024
39110.71,0.509366023
39110.75,0.533338653
39110.79,0.544383112
39110.83,0.52498586
39110.87,0.494965985
39110.92,0.432495029
39110.96,0.377943821
39111.00,0.323239432
39111.04,0.308431975
39111.08,0.324051333
39111.12,0.346790806
39111.17,0.392723693
39111.21,0.434186127
39111.25,0.462196821
39111.29,0.517885528
39111.33,0.465807349
39111.37,0.374614724
39111.42,0.399355268
39111.46,0.42111634
39111.50,0.432447206
39111.54,0.45785795
39111.58,0.482164474
39111.62,0.468126804
39111.67,0.460386634
39111.71,0.511721965
39111.75,0.57869555
39111.79,0.575189423
39111.83,0.604381286
39111.87,0.582519608
39111.92,0.591953994
39111.96,0.570204814
39112.00,0.547080002
39112.04,0.553865206
39112.08,0.567796645
39112.12,0.590118023
39112.17,0.577373687
39112.21,0.603658351
39112.25,0.582004964
39112.29,0.583642693
39112.33,0.554289146
39112.37,0.516416671
39112.42,0.513251719
39112.46,0.507968676
39112.50,0.522477505
39112.54,0.529102625
39112.58,0.572429683
39112.62,0.558327727
39112.67,0.559466829
39112.71,0.557085965
39112.75,0.571004893
39112.79,0.590625124
39112.83,0.592162224
39112.87,0.582390926
39112.92,0.544146455
39112.96,0.504132546
39113.00,0.465795575
39113.04,0.441465725
39113.08,0.409143395
39113.12,0.393669559
39113.17,0.377896247
39113.21,0.359873026
39113.25,0.352505134
39113.29,0.339063785
39113.33,0.279595677
39113.37,0.204563376
39113.42,0.202826885
39113.46,0.229938674
39113.50,0.262405204
39113.54,0.297278783
39113.58,0.334624338
39113.62,0.338719039
39113.67,0.340609523
39113.71,0.346706505
39113.75,0.352345132
39113.79,0.38235622
39113.83,0.379244757
39113.87,0.363990329
39113.92,0.346242323
39113.96,0.326038263
39114.00,0.321131171
39114.04,0.301633001
39114.08,0.291863974
39114.12,0.29109825
39114.17,0.254481505
39114.21,0.229192393
39114.25,0.220907875
39114.29,0.213767417
39114.33,0.174339935
39114.37,0.151954629
39114.42,0.161694428
39114.46,0.157988652
39114.50,0.157360961
39114.54,0.155262707
39114.58,0.146934212
39114.62,0.134980601
39114.67,0.101802445
39114.71,0.126161011
39114.75,0.139963805
39114.79,0.152104374
39114.83,0.154887029
39114.87,0.166924899
39114.92,0.169882325
39114.96,0.204373465
39115.00,0.193036764
39115.04,0.195170313
39115.08,0.198099119
39115.12,0.204006002
39115.17,0.225720929
39115.21,0.240441302
39115.25,0.229096952
39115.29,0.290362609
39115.33,0.345300355
39115.37,0.37359875
39115.42,0.392522112
39115.46,0.426355269
39115.50,0.462300786
39115.54,0.490647114
39115.58,0.522501368
39115.62,0.54769361
39115.67,0.518410031
39115.71,0.502756335
39115.75,0.51929039
39115.79,0.535033634
39115.83,0.585242026
39115.87,0.612858947
39115.92,0.628475823
39115.96,0.624089953
39116.00,0.631376396
39116.04,0.656606352
39116.08,0.657963442
39116.12,0.663362987
39116.17,0.684814727
39116.21,0.696921051
39116.25,0.715824722
39116.29,0.735676495
39116.33,0.737987082
39116.37,0.730185269
39116.42,0.737286952
39116.46,0.752083631
39116.50,0.753485793
39116.54,0.759644189
39116.58,0.758981597
39116.62,0.742670302
39116.67,0.692879942
39116.71,0.619845216
39116.75,0.575625616
39116.79,0.554578265
39116.83,0.518236668
39116.87,0.472883878
39116.92,0.490650564
39116.96,0.501370011
39117.00,0.45927359
39117.04,0.425814074
39117.08,0.46375353
39117.12,0.514764324
39117.17,0.507203783
39117.21,0.51798303
39117.25,0.513998751
39117.29,0.489488223
39117.33,0.535998954
39117.37,0.600186802
39117.42,0.630217529
39117.46,0.638519045
39117.50,0.672997863
39117.54,0.701926297
39117.58,0.724490935
39117.62,0.724014264
39117.67,0.712122063
39117.71,0.658986736
39117.75,0.625785883
39117.79,0.604466275
39117.83,0.561673445
39117.87,0.540614607
39117.92,0.544187434
39117.96,0.506933166
39118.00,0.475585608
39118.04,0.44129462
39118.08,0.423851581
39118.12,0.40680006
39118.17,0.383722583
39118.21,0.368028932
39118.25,0.343337034
39118.29,0.337814027
39118.33,0.322026864
39118.37,0.313397793
39118.42,0.293720614
39118.46,0.287802101
39118.50,0.291862782
39118.54,0.297814894
39118.58,0.30013234
39118.62,0.297426881
39118.67,0.291621944
39118.71,0.2473876
39118.75,0.215491528
39118.79,0.265079983
39118.83,0.288778526
39118.87,0.276048897
39118.92,0.251894134
39118.96,0.237417608
39119.00,0.230629282
39119.04,0.230551165
39119.08,0.216028202
39119.12,0.164006357
39119.17,0.165703852
39119.21,0.217409004
39119.25,0.224626226
39119.29,0.223165761
39119.33,0.207994895
39119.37,0.2005377
39119.42,0.192673908
39119.46,0.192641657
39119.50,0.184582515
39119.54,0.167084682
39119.58,0.143495961
39119.62,0.124987019
39119.67,0.096975562
39119.71,0.081227571
39119.75,0.096772021
39119.79,0.129408223
39119.83,0.183209158
39119.87,0.238827238
39119.92,0.25995926
39119.96,0.277097266
39120.00,0.281376904
39120.04,0.352878676
39120.08,0.381517104
39120.12,0.423168376
39120.17,0.467073074
39120.21,0.461167795
39120.25,0.489007548
39120.29,0.475773467
39120.33,0.333106411
39120.37,0.238358597
39120.42,0.237396093
39120.46,0.257236902
39120.50,0.287258336
39120.54,0.315489692
39120.58,0.337948874
39120.62,0.378714321
39120.67,0.401054141
39120.71,0.475952889
39120.75,0.572976071
39120.79,0.654916658
39120.83,0.691747666
39120.87,0.701212953
39120.92,0.713549178
39120.96,0.70548984
39121.00,0.707189573
39121.04,0.699544103
39121.08,0.682872371
39121.12,0.667953308
39121.17,0.643336178
39121.21,0.605024872
39121.25,0.586358619
39121.29,0.524681188
39121.33,0.372216313
39121.37,0.265329801
39121.42,0.260223
39121.46,0.287432475
39121.50,0.314953421
39121.54,0.332979503
39121.58,0.353019848
39121.62,0.373580866
39121.67,0.398586301
39121.71,0.496810498
39121.75,0.628053669
39121.79,0.673836331
39121.83,0.69311058
39121.87,0.663866841
39121.92,0.630848872
39121.96,0.58520302
39122.00,0.568175704
39122.04,0.553588582
39122.08,0.498708889
39122.12,0.437369734
39122.17,0.377992638
39122.21,0.34982757
39122.25,0.340279334
39122.29,0.317651253
39122.33,0.238944334
39122.37,0.202257485
39122.42,0.199471252
39122.46,0.206096639
39122.50,0.20724556
39122.54,0.219964478
39122.58,0.223512962
39122.62,0.218556312
39122.67,0.261877778
39122.71,0.328468336
39122.75,0.428179033
39122.79,0.535992541
39122.83,0.603191163
39122.87,0.627388646
39122.92,0.634917139
39122.96,0.627029383
39123.00,0.638962116
39123.04,0.63293719
39123.08,0.630460793
39123.12,0.613773685
39123.17,0.591007545
39123.21,0.579579016
39123.25,0.574908586
39123.29,0.526664733
39123.33,0.359828294
39123.37,0.229316055
39123.42,0.217776382
39123.46,0.212284435
39123.50,0.21019659
39123.54,0.214606582
39123.58,0.223965233
39123.62,0.230963923
39123.67,0.251764352
39123.71,0.320341905
39123.75,0.366241501
39123.79,0.401063627
39123.83,0.42343159
39123.87,0.411275516
39123.92,0.378636297
39123.96,0.358964327
39124.00,0.320929206
39124.04,0.276798756
39124.08,0.227681054
39124.12,0.184386089
39124.17,0.187152687
39124.21,0.220694261
39124.25,0.243500114
39124.29,0.252655134
39124.33,0.208124971
39124.37,0.162022254
39124.42,0.170174396
39124.46,0.198922615
39124.50,0.218675384
39124.54,0.236548055
39124.58,0.242224591
39124.62,0.246649819
39124.67,0.261179933
39124.71,0.33396802
39124.75,0.398690928
39124.79,0.423006505
39124.83,0.397869329
39124.87,0.373403487
39124.92,0.352985209
39124.96,0.336699841
39125.00,0.296594175
39125.04,0.257141969
39125.08,0.250831736
39125.12,0.236571378
39125.17,0.230828937
39125.21,0.238319484
39125.25,0.238448014
39125.29,0.21789595
39125.33,0.138505727
39125.37,0.085118891
39125.42,0.054006986
39125.46,0.055031501
39125.50,0.06790699
39125.54,0.088540776
39125.58,0.118920195
39125.62,0.157385123
39125.67,0.196095657
39125.71,0.307371244
39125.75,0.409618598
39125.79,0.470458553
39125.83,0.480394194
39125.87,0.493098948
39125.92,0.490827505
39125.96,0.498016469
39126.00,0.502173901
39126.04,0.527462541
39126.08,0.553449746
39126.12,0.580346557
39126.17,0.61375372
39126.21,0.636365251
39126.25,0.657435978
