Date,PJM Load (MW)
38733.87,107627.8858
38733.92,103529.3266
38733.96,96941.17508
38734,89899.88972
38734.04,85115.74018
38734.08,82380.86787
38734.12,80906.59538
38734.17,80689.1642
38734.21,82205.30404
38734.25,87807.92052
38734.29,98058.62499
38734.33,104880.1494
38734.37,105393.6429
38734.42,105046.8092
38734.46,104906.3353
38734.5,104245.8329
38734.54,103336.2987
38734.58,102796.0877
38734.62,101902.329
38734.67,101844.3395
38734.71,104166.0647
38734.75,109160.573
38734.79,110701.6915
38734.83,109142.8188
38734.87,106038.1438
38734.92,101288.5155
38734.96,95052.36897
38735,87679.12189
38735.04,82338.50115
38735.08,79341.33921
38735.12,77769.05701
38735.17,77141.47758
38735.21,78851.72485
38735.25,84396.75484
38735.29,94382.08499
38735.33,101783.9627
38735.37,103047.912
38735.42,103756.5619
38735.46,104586.3514
38735.5,104567.1395
38735.54,104164.9125
38735.58,103715.5504
38735.62,103042.7481
38735.67,102631.6533
38735.71,104632.2769
38735.75,110877.0215
38735.79,114629.5747
38735.83,113806.7011
38735.87,111661.6663
38735.92,107558.4252
38735.96,101101.3341
38736,94090.34956
38736.04,89014.75642
38736.08,86429.72025
38736.12,85549.62829
38736.17,85343.65387
38736.21,87337.77406
38736.25,93104.91296
38736.29,103361.2738
38736.33,109092.835
38736.37,108140.9215
38736.42,106315.8581
38736.46,104432.8301
38736.5,102317.4048
38736.54,99978.59363
38736.58,98106.97536
38736.62,95748.86974
38736.67,94168.88362
38736.71,95137.57046
38736.75,101111.7092
38736.79,105861.1057
38736.83,105472.9909
38736.87,103875.8975
38736.92,100261.8018
38736.96,93649.31256
38737,86888.95783
38737.04,81959.57723
38737.08,79294.99999
38737.12,77902.3072
38737.17,77821.36468
38737.21,79430.90167
38737.25,84762.18912
38737.29,95184.55129
38737.33,101289.591
38737.37,101018.551
38737.42,99645.75574
38737.46,98404.28325
38737.5,96843.11799
38737.54,95093.61713
38737.58,93775.49179
38737.62,92402.69118
38737.67,91274.51374
38737.71,92134.89957
38737.75,97172.16762
38737.79,99576.20906
38737.83,97968.78302
38737.87,95900.99048
38737.92,92916.75711
38737.96,88349.72312
38738,82251.14873
38738.04,77439.55953
38738.08,74725.2345
38738.12,73125.96962
38738.17,72141.89032
38738.21,72430.53197
38738.25,74330.6693
38738.29,77843.83048
38738.33,82195.18605
38738.37,86396.9506
38738.42,89116.74457
38738.46,90423.88727
38738.5,89525.29328
38738.54,87923.74002
38738.58,86208.15589
38738.62,84535.21351
38738.67,83711.14607
38738.71,84375.78771
38738.75,89330.82197
38738.79,93859.81408
38738.83,93327.29372
38738.87,92194.83263
38738.92,90056.76233
38738.96,86804.55849
38739,82733.76944
38739.04,78833.9449
38739.08,76672.12375
38739.12,75772.91251
38739.17,75505.79371
38739.21,76210.45055
38739.25,78001.30038
38739.29,81286.4161
38739.33,84871.47659
38739.37,88117.10397
38739.42,89674.56786
38739.46,89691.13779
38739.5,89147.63753
38739.54,88441.72377
38739.58,87486.12166
38739.62,86871.27948
38739.67,87033.38072
38739.71,89521.68753
38739.75,95601.26879
38739.79,99363.89696
38739.83,99197.92288
38739.87,97807.58768
38739.92,94379.66281
38739.96,89777.55784
38740,84518.52467
38740.04,80720.92356
38740.08,78990.19558
38740.12,78194.58038
38740.17,78533.40092
38740.21,80349.09901
38740.25,86391.90352
