Date,Waymart_PA
39623.37,0.135317472
39623.42,0.195863183
39623.46,0.348332716
39623.5,0.511292405
39623.54,0.402315948
39623.58,0.578331035
39623.62,0.359641147
39623.67,0.529931841
39623.71,0.60221195
39623.75,0.546917614
39623.79,0.669365047
39623.83,0.649486784
39623.87,0.583038118
39623.92,0.423472228
39623.96,0.405352949
39624,0.395106989
39624.04,0.364353317
39624.08,0.248536927
39624.12,0.249653396
39624.17,0.274977118
39624.21,0.250988972
39624.25,0.16480794
39624.29,0.078540985
39624.33,0.035930488
39624.37,0.013897193
39624.42,0.066960787
39624.46,0.102189725
39624.5,0.074677062
39624.54,0.078329944
39624.58,0.1721818
39624.62,0.152006886
39624.67,0.097674397
39624.71,0.079309188
39624.75,0.054904161
39624.79,0.058973176
39624.83,0.142744388
39624.87,0.256980987
39624.92,0.258591202
39624.96,0.248445784
39625,0.348858581
39625.04,0.629383706
39625.08,0.680063476
39625.12,0.567709004
39625.17,0.542113537
39625.21,0.606248894
39625.25,0.667416673
39625.29,0.658005073
39625.33,0.379344212
39625.37,0.505521653
39625.42,0.425388974
39625.46,0.368977785
39625.5,0.316169928
39625.54,0.343889525
39625.58,0.354424382
39625.62,0.309492736
39625.67,0.385691768
39625.71,0.438869362
39625.75,0.353625706
39625.79,0.475652503
39625.83,0.340586965
39625.87,0.268764537
39625.92,0.203232942
39625.96,0.104519642
39626,0.095368198
39626.04,0.157667866
39626.08,0.309985646
39626.12,0.546840812
39626.17,0.604722777
39626.21,0.532751635
39626.25,0.475196883
39626.29,0.407718696
39626.33,0.47639731
39626.37,0.299177846
39626.42,0.080274551
39626.46,0.075643691
39626.5,0.037760382
39626.54,0.01675308
39626.58,0.215235882
39626.62,0.029518758
39626.67,0.03381355
39626.71,0
39626.75,0.007003431
39626.79,0.076548411
39626.83,0.120529331
39626.87,0.052054268
39626.92,0.096855751
39626.96,0.061938884
39627,0.118181341
39627.04,0.029825424
39627.08,0.002780012
39627.12,0
39627.17,0
39627.21,0
39627.25,0
39627.29,0
39627.33,0.017080311
39627.37,0.091603776
39627.42,0.265679019
39627.46,0.512286604
39627.5,0.456089149
39627.54,0.340829657
39627.58,0.362930156
39627.62,0.377014152
39627.67,0.431286854
39627.71,0.51695215
39627.75,0.176740388
39627.79,0.44224228
39627.83,0.564755459
39627.87,0.524060045
39627.92,0.554166039
39627.96,0.736332283
39628,0.744562149
39628.04,0.733958105
39628.08,0.722925377
39628.12,0.725665238
39628.17,0.670897328
39628.21,0.525646677
39628.25,0.317122936
39628.29,0.08490055
39628.33,0.013812981
39628.37,0.012548181
39628.42,0.013041043
39628.46,0.041823041
39628.5,0.101013918
39628.54,0.108171374
39628.58,0.124547056
39628.62,0.012129659
39628.67,0.009508746
39628.71,0.046216858
39628.75,0.197408691
39628.79,0.23301426
39628.83,0.410910804
39628.87,0.55010804
39628.92,0.620440722
39628.96,0.496958117
39629,0.624889179
39629.04,0.506762779
39629.08,0.482454841
39629.12,0.484568168
39629.17,0.479325593
39629.21,0.354338401
39629.25,0.204905167
39629.29,0.146534298
39629.33,0.076759775
39629.37,0.049047056
39629.42,0.080938892
39629.46,0.091391548
39629.5,0.052816808
39629.54,0.078004914
39629.58,0.01845787
39629.62,0.062682463
39629.67,0.092367179
39629.71,0.048757131
39629.75,0.052606685
39629.79,0.500572747
39629.83,0.495226423
39629.87,0.462516321
39629.92,0.45305449
39629.96,0.429620056
39630,0.207272883
39630.04,0.159701332
39630.08,0.124966368
39630.12,0.157078775
39630.17,0.167439118
39630.21,0.153342979
39630.25,0.022912512
39630.29,0.004638163
39630.33,0
39630.37,0
39630.42,0.011485229
39630.46,0.012140697
39630.5,0.015784228
39630.54,0.084178613
39630.58,0.034958075
39630.62,0.008315447
39630.67,0.071372035
39630.71,0.140279198
39630.75,0.0966178
39630.79,0.022467193
39630.83,0.010186202
39630.87,0.027415316
39630.92,0.031724411
39630.96,0.138338357
39631,0.081294943
39631.04,0.012878279
39631.08,0.010388862
39631.12,0.030662174
39631.17,0.045737745
39631.21,0.099294661
39631.25,0.166096436
39631.29,0.104862959
39631.33,0.065212
39631.37,0.059400323
39631.42,0.111957945
39631.46,0.121499885
39631.5,0.078432601
39631.54,0.118672225
39631.58,0.164024346
39631.62,0.246540805
39631.67,0.40962607
39631.71,0.36029195
39631.75,0.407084903
39631.79,0.441246127
39631.83,0.518820496
39631.87,0.676421561
39631.92,0.678974176
39631.96,0.679703438
39632,0.718823907
39632.04,0.718593126
39632.08,0.683725004
39632.12,0.697948788
39632.17,0.716492244
39632.21,0.742448038
39632.25,0.681382506
39632.29,0.64938263
39632.33,0.695052136
39632.37,0.739600877
39632.42,0.724481128
39632.46,0.683994872
39632.5,0.710402991
39632.54,0.742196812
39632.58,0.722463923
39632.62,0.714854147
39632.67,0.714449476
39632.71,0.303307891
39632.75,0.097514167
39632.79,0.056971278
39632.83,0.397257172
39632.87,0.550789352
39632.92,0.118358416
39632.96,0.043651087
39633,0.103802277
39633.04,0.048970846
39633.08,0.06971619
39633.12,0.116163041
39633.17,0.115098156
39633.21,0.015324568
39633.25,0.005638743
39633.29,0
39633.33,0
39633.37,0
39633.42,0.004123787
39633.46,0.01162576
39633.5,0.010094975
39633.54,0.010402324
39633.58,0.012864904
39633.62,0.008849452
39633.67,0.011674904
39633.71,0
39633.75,0
39633.79,0
39633.83,0
39633.87,0
39633.92,0
39633.96,0
39634,0
39634.04,0.006899776
39634.08,0.008488541
39634.12,0.003420418
39634.17,0
39634.21,0
39634.25,0
39634.29,0
39634.33,0
39634.37,0
39634.42,0
39634.46,0
39634.5,0
39634.54,0
39634.58,0
39634.62,0.00232414
39634.67,0.016606729
39634.71,0.010154532
39634.75,0.012391167
39634.79,0.011365458
39634.83,0
39634.87,0.001587805
39634.92,0
39634.96,0
39635,0
39635.04,0
39635.08,0
39635.12,0
39635.17,0
39635.21,0
39635.25,0
39635.29,0
39635.33,0
39635.37,0
39635.42,0
39635.46,0
39635.5,0
39635.54,0
39635.58,0.009022113
39635.62,0.019225066
39635.67,0.021092359
39635.71,0.025858828
39635.75,0.00408921
39635.79,0.05004357
39635.83,0.277677743
39635.87,0.287275407
39635.92,0.1831676
39635.96,0.085107598
39636,0.074643354
39636.04,0.023343471
39636.08,0.021637517
39636.12,0.004219466
39636.17,0
39636.21,0.001647944
39636.25,0
39636.29,0
39636.33,0
39636.37,0
39636.42,0
39636.46,0.009624038
39636.5,0.020630666
39636.54,0.009564868
39636.58,0.162040893
39636.62,0.025358301
39636.67,0.020905099
39636.71,0.024803957
39636.75,0.118093054
39636.79,0.197280269
39636.83,0.245254329
39636.87,0.2554094
39636.92,0.247266712
39636.96,0.373047985
39637,0.370264437
39637.04,0.383323288
39637.08,0.450438974
39637.12,0.463190404
39637.17,0.439108377
39637.21,0.442072503
39637.25,0.354617909
39637.29,0.269489891
