Date,PJM Load (MW)
38732.5,87243.17098
38732.54,85994.98254
38732.58,83949.86991
38732.62,82255.25942
38732.67,81448.72589
38732.71,83545.10575
38732.75,91400.20613
38732.79,95635.37141
38732.83,95331.31565
38732.87,94219.45564
38732.92,91912.75026
38732.96,88730.41706
38733,84796.37009
38733.04,81087.4796
38733.08,79112.37402
38733.12,78651.46002
38733.17,78754.4281
38733.21,80303.42336
38733.25,84200.14277
38733.29,90886.08644
38733.33,96587.73432
38733.37,98930.54107
38733.42,99681.97871
38733.46,99374.26025
38733.5,98013.55321
38733.54,95944.68732
38733.58,94079.81669
38733.62,91971.68234
38733.67,90656.91941
38733.71,92123.01517
38733.75,98649.88909
38733.79,103114.1381
38733.83,102715.6716
38733.87,100696.3743
38733.92,96959.34105
38733.96,90821.21731
38734,84184.08454
38734.04,79679.13274
38734.08,77108.22691
38734.12,75714.29356
38734.17,75480.43605
38734.21,76820.10698
38734.25,82062.06585
38734.29,91909.28645
38734.33,98441.06739
38734.37,98772.04917
38734.42,98281.76945
38734.46,98045.15424
38734.5,97330.7064
38734.54,96386.84879
38734.58,95838.53578
38734.62,94951.35778
38734.67,94879.74598
38734.71,97157.30863
38734.75,102071.4141
38734.79,103585.0641
38734.83,102057.6535
38734.87,99108.2196
38734.92,94720.03441
38734.96,88933.81261
38735,81964.62557
38735.04,76903.13892
38735.08,74069.90591
38735.12,72577.94445
38735.17,71933.94245
38735.21,73467.76123
38735.25,78652.21623
38735.29,88234.15492
38735.33,95346.35551
38735.37,96427.83483
38735.42,96993.07163
38735.46,97726.74179
38735.5,97653.59687
38735.54,97217.05438
38735.58,96759.59201
38735.62,96093.36899
38735.67,95668.655
38735.71,97625.12619
38735.75,103789.4863
38735.79,107514.5773
38735.83,106723.1586
38735.87,104733.3293
38735.92,100991.4485
38735.96,94984.17913
38736,88377.16211
38736.04,83580.6394
38736.08,81159.49461
38736.12,80359.70499
38736.17,80137.31176
38736.21,81955.04388
38736.25,87361.69039
38736.29,97214.75222
38736.33,102656.7026
38736.37,101522.361
38736.42,99553.91731
38736.46,97574.79203
38736.5,95405.44603
38736.54,93032.32719
38736.58,91152.61055
38736.62,88801.08266
38736.67,87207.48046
38736.71,88132.02503
38736.75,94025.79772
38736.79,98747.73831
38736.83,98391.0712
38736.87,96949.14777
38736.92,93696.3296
38736.96,87533.55903
38737,81177.07924
38737.04,76526.70543
38737.08,74025.98201
38737.12,72713.57315
38737.17,72616.21559
38737.21,74049.40493
38737.25,79020.2826
38737.29,89039.43813
38737.33,94854.93342
38737.37,94401.50714
38737.42,92885.36445
38737.46,91547.81667
38737.5,89932.7431
38737.54,88148.94241
38737.58,86822.72056
38737.62,85456.49617
38737.67,84314.70576
38737.71,85130.95945
38737.75,90087.87986
38737.79,92464.47168
38737.83,90888.48611
38737.87,88975.82801
38737.92,86352.78936
38737.96,82235.371
38738,76540.579
38738.04,72007.93295
38738.08,69457.42417
38738.12,67938.42484
38738.17,66937.93425
38738.21,67050.26867
38738.25,68590.07883
38738.29,71700.12578
38738.33,75762.00331
38738.37,79781.42334
38738.42,82357.90276
38738.46,83568.99219
38738.5,82616.50224
38738.54,80980.65702
38738.58,79256.97823
38738.62,77590.61057
38738.67,76752.93328
38738.71,77373.45289
38738.75,82248.15793
38738.79,86749.70671
38738.83,86248.61963
38738.87,85271.25741
38738.92,83494.29905
38738.96,80691.60778
38739,77024.50857
38739.04,73403.56353
38739.08,71405.52109
38739.12,70586.55698
38739.17,70303.03067
38739.21,70831.42069
38739.25,72262.02595
38739.29,75144.11986
38739.33,78439.76867
38739.37,81503.09334
38739.42,82917.27554
38739.46,82837.8142
38739.5,82240.43035
38739.54,81500.2325
38739.58,80536.53758
38739.62,79928.26861
38739.67,80076.76313
38739.71,82520.95801
38739.75,88520.22847
38739.79,92255.4196
38739.83,92120.87159
38739.87,90885.5997
38739.92,87818.70399
38739.96,83666.00854
38740,78810.57267
38740.04,75291.7874
38740.08,73724.80058
38740.12,73009.41411
38740.17,73331.83089
38740.21,74971.30259
38740.25,80653.94513
38740.29,90499.22937
38740.33,97431.35011
38740.37,98181.79005
38740.42,98295.74419
38740.46,98383.93055
38740.5,97413.45565
38740.54,96294.54219
38740.58,95249.98056
38740.62,93399.16327
38740.67,92331.03773
38740.71,93286.50404
38740.75,97377.58612
38740.79,102162.8382
38740.83,101664.5437
38740.87,99739.43151
38740.92,96087.52712
38740.96,89898.43687
38741,83521.36492
38741.04,78941.27603
38741.08,76805.75118
38741.12,76082.97635
38741.17,76605.02266
38741.21,78403.7369
38741.25,84142.5403
38741.29,94723.85618
38741.33,100931.3734
38741.37,99954.63633
38741.42,97740.22685
38741.46,95924.61976
38741.5,94140.21607
38741.54,92259.90596
38741.58,91008.62922
38741.62,89763.03091
38741.67,89626.21017
38741.71,91144.12435
38741.75,97173.29373
38741.79,101911.8884
38741.83,101610.8697
38741.87,99303.83383
38741.92,95686.18808
38741.96,90031.96251
38742,83433.00253
38742.04,78704.14736
38742.08,76346.91396
38742.12,75495.63807
38742.17,75563.75953
38742.21,77665.65125
38742.25,83331.90365
38742.29,93516.24851
38742.33,99872.72551
38742.37,99833.34841
38742.42,99365.03899
38742.46,98876.88305
38742.5,98262.83349
38742.54,97794.22836
38742.58,97666.29781
38742.62,96992.20314
38742.67,96644.74125
38742.71,98810.48083
38742.75,104061.1805
38742.79,107902.7869
38742.83,107388.4982
38742.87,105558.2793
38742.92,102068.5611
38742.96,96068.19888
38743,89559.60543
38743.04,85073.52904
38743.08,82847.12965
38743.12,82025.54601
38743.17,82106.0662
38743.21,83937.60133
38743.25,89545.19981
38743.29,99993.10865
38743.33,105871.7143
38743.37,104787.6455
38743.42,102995.5868
38743.46,101420.2572
38743.5,99625.875
38743.54,97715.265
38743.58,96115.40788
38743.62,94278.92944
38743.67,93042.56499
38743.71,94346.02048
38743.75,100339.7327
38743.79,106216.3369
38743.83,106602.1752
38743.87,105932.0589
38743.92,102943.0557
38743.96,97282.61185
38744,91046.68314
38744.04,86913.01938
38744.08,84890.28849
38744.12,84128.33932
38744.17,84479.67208
38744.21,86295.25328
38744.25,91876.75397
38744.29,102164.4092
38744.33,107806.5116
38744.37,106230.8075
38744.42,103259.0617
38744.46,100713.9889
38744.5,97553.20292
38744.54,94661.62741
38744.58,92292.70377
38744.62,89875.64087
38744.67,88313.80657
38744.71,88859.40149
38744.75,94090.75403
38744.79,98422.05055
38744.83,97808.09082
38744.87,96297.78424
38744.92,93976.83707
38744.96,89432.05139
38745,83979.10142
38745.04,78720.54549
38745.08,76245.50395
38745.12,74779.92998
38745.17,74192.84754
38745.21,74228.90042
38745.25,76015.95916
38745.29,79188.3265
38745.33,83206.81441
38745.37,86285.14951
38745.42,87147.24946
38745.46,86025.56519
38745.5,83492.26281
38745.54,80480.78088
38745.58,77489.22405
38745.62,75102.24867
38745.67,73761.1453
38745.71,74241.70793
38745.75,79264.76547
38745.79,84302.14044
38745.83,83540.40969
38745.87,82585.32418
38745.92,81003.24931
38745.96,77690.134
38746,73743.62424
38746.04,69997.39102
38746.08,67753.16301
38746.12,66377.30261
38746.17,65727.7804
38746.21,65478.14681
38746.25,66384.81787
38746.29,68420.76014
38746.33,71346.75844
38746.37,75021.42476
38746.42,77522.19344
38746.46,78741.33555
38746.5,78823.05146
38746.54,78829.62751
38746.58,77809.8784
38746.62,76484.04562
38746.67,76045.7065
38746.71,77359.37314
38746.75,81623.23613
38746.79,85512.68883
38746.83,85300.52087
38746.87,83974.53923
38746.92,81122.51606
38746.96,76844.08208
38747,72174.30108
38747.04,68477.45161
38747.08,66672.10837
