Date,MountStorm_App
40831.58,0.786421287
40831.62,0.786421287
40831.67,0.786421287
40831.71,0.786421287
40831.75,0.786421287
40831.79,0.786421287
40831.83,0.786421287
40831.87,0.786421287
40831.92,0.786421287
40831.96,0.786421287
40832,0.786421287
40832.04,0.786421287
40832.08,0.786421287
40832.12,0.786421287
40832.17,0.786421287
40832.21,0.786421287
40832.25,0.786421287
40832.29,0.786421287
40832.33,0.730206651
40832.37,0.719084998
40832.42,0.751651328
40832.46,0.745596432
40832.5,0.696368644
40832.54,0.645870118
40832.58,0.669900669
40832.62,0.616201394
40832.67,0.6958547
40832.71,0.773763097
40832.75,0.786421287
40832.79,0.589815965
40832.83,0
40832.87,0
40832.92,0
40832.96,0.327675536
40833,0.786421287
40833.04,0.750281181
40833.08,0.747517789
40833.12,0.769761569
40833.17,0.786421287
40833.21,0.786421287
40833.25,0.786421287
40833.29,0.779617039
40833.33,0.734388576
40833.37,0.734075741
40833.42,0.720206938
40833.46,0.707769356
40833.5,0.722176683
40833.54,0.754027278
40833.58,0.614042713
40833.62,0.37078066
40833.67,0.073960443
40833.71,0.012409367
40833.75,0.232932901
40833.79,0.578561164
40833.83,0.749573119
40833.87,0.754436772
40833.92,0.75463218
40833.96,0.751258453
40834,0.707782325
40834.04,0.59458585
40834.08,0.686346625
40834.12,0.586568989
40834.17,0.419395875
40834.21,0.326049056
40834.25,0.238155496
40834.29,0.224704335
40834.33,0.058083758
40834.37,0
40834.42,0
40834.46,0.005359602
40834.5,0.028023375
40834.54,0.043339179
40834.58,0.014470667
40834.62,0.014493343
40834.67,0.004644614
40834.71,0.001711072
40834.75,0.003310611
40834.79,0.013792998
40834.83,0.030293583
40834.87,0.058647922
40834.92,0.04380212
40834.96,0.035221587
40835,0.022428615
40835.04,0.142659558
40835.08,0.240687232
40835.12,0.417522762
40835.17,0.337597369
40835.21,0.185219661
40835.25,0.081881912
40835.29,0.280215757
40835.33,0.46813959
40835.37,0.422323241
40835.42,0.463976086
40835.46,0.489559542
40835.5,0.549265971
40835.54,0.622382218
40835.58,0.560736716
40835.62,0.483809318
40835.67,0.319924055
40835.71,0.309931293
40835.75,0.088565843
40835.79,0.031478318
40835.83,0.203603619
40835.87,0.738051899
40835.92,0.732375616
40835.96,0.735248222
40836,0.772140769
40836.04,0.778264753
40836.08,0.731008402
40836.12,0.786421287
40836.17,0.786421287
40836.21,0.786421287
40836.25,0.786421287
40836.29,0.786421287
40836.33,0.786421287
40836.37,0.786421287
40836.42,0.786421287
40836.46,0.740796362
40836.5,0.64566711
40836.54,0.578323878
40836.58,0.744326399
40836.62,0.681771407
40836.67,0.597393022
40836.71,0.626108548
40836.75,0.524989422
40836.79,0.51341168
40836.83,0.646583435
40836.87,0.295783309
40836.92,0.280030409
40836.96,0.666062542
40837,0.748423346
40837.04,0.753575888
40837.08,0.727298035
40837.12,0.732487103
40837.17,0.732576074
40837.21,0.576672969
40837.25,0.468591382
40837.29,0.646118459
40837.33,0.724743695
40837.37,0.715845912
40837.42,0.631716383
40837.46,0.577041796
40837.5,0.515731073
40837.54,0.581319047
40837.58,0.57406419
40837.62,0.485764197
40837.67,0.325614845
40837.71,0.465749589
40837.75,0.684992643
40837.79,0.742100208
40837.83,0.786421287
40837.87,0.786421287
40837.92,0.763139298
40837.96,0.752231866
40838,0.756986683
40838.04,0.742991456
40838.08,0.721940572
40838.12,0.693100977
40838.17,0.658239065
40838.21,0.626757763
40838.25,0.608421743
40838.29,0.541454684
40838.33,0.384903091
40838.37,0.236745631
40838.42,0.137798647
40838.46,0.10056311
40838.5,0.068943391
40838.54,0.066618751
40838.58,0.092464453
40838.62,0.138909268
40838.67,0.186278036
40838.71,0.325922391
40838.75,0.373527103
40838.79,0.348711129
40838.83,0.382110822
40838.87,0.361511397
40838.92,0.339563344
40838.96,0.31594387
40839,0.267143625
40839.04,0.224673187
40839.08,0.140415212
40839.12,0.094484014
40839.17,0.029540671
40839.21,0.00398797
40839.25,0
40839.29,0
40839.33,0
40839.37,0
40839.42,0
40839.46,0
40839.5,0
40839.54,0
40839.58,0
40839.62,0
40839.67,0
40839.71,0
40839.75,0.00491522
40839.79,0.007460286
40839.83,0.003364394
40839.87,0.053119567
40839.92,0.234629926
40839.96,0.191920741
40840,0.020290068
40840.04,0.241282082
40840.08,0.602730624
40840.12,0.638393504
40840.17,0.648617748
40840.21,0.681670997
40840.25,0.703793167
40840.29,0.738119927
40840.33,0.638979411
40840.37,0.468878207
40840.42,0.357265198
40840.46,0.360973723
40840.5,0.486034888
40840.54,0.575504158
40840.58,0.684048835
40840.62,0.719226681
40840.67,0.679217594
40840.71,0.746291927
40840.75,0.748734522
40840.79,0.755010913
40840.83,0.748846925
40840.87,0.74463722
40840.92,0.74698558
40840.96,0.749863126
40841,0.753330966
40841.04,0.756007587
40841.08,0.754314959
40841.12,0.745413339
40841.17,0.750735544
40841.21,0.754832004
40841.25,0.757282728
40841.29,0.737664045
40841.33,0.669132147
40841.37,0.575217678
40841.42,0.472734935
40841.46,0.356467458
40841.5,0.214678979
40841.54,0.130837266
40841.58,0.071960357
40841.62,0.044493325
40841.67,0.045349665
40841.71,0.371281174
40841.75,0.577930236
40841.79,0.67259062
40841.83,0.728648171
40841.87,0.756561768
40841.92,0.75822773
40841.96,0.752379967
40842,0.713894713
40842.04,0.786421287
40842.08,0.786421287
40842.12,0.786421287
40842.17,0.786421287
40842.21,0.786421287
40842.25,0.786421287
40842.29,0.786421287
40842.33,0.786421287
40842.37,0.757593565
40842.42,0.769101063
40842.46,0.786421287
40842.5,0.786421287
40842.54,0.766902834
40842.58,0.690115987
40842.62,0.572723467
40842.67,0.59798998
40842.71,0.70188965
40842.75,0.729218414
40842.79,0.765320645
40842.83,0.537035246
40842.87,0.226442087
40842.92,0.749734115
40842.96,0.751174188
40843,0.730582763
40843.04,0.739159431
