Date,year,month,weekend
18647,1951,1,0
18648,1951,1,1
18649,1951,1,1
18650,1951,1,0
18651,1951,1,0
18652,1951,1,0
18653,1951,1,0
18654,1951,1,0
18655,1951,1,1
18656,1951,1,1
18657,1951,1,0
18658,1951,1,0
18659,1951,1,0
18660,1951,2,0
18661,1951,2,0
18662,1951,2,1
18663,1951,2,1
18664,1951,2,0
18665,1951,2,0
18666,1951,2,0
18667,1951,2,0
18668,1951,2,0
18669,1951,2,1
18670,1951,2,1
18671,1951,2,0
18672,1951,2,0
18673,1951,2,0
18674,1951,2,0
18675,1951,2,0
18676,1951,2,1
18677,1951,2,1
18678,1951,2,0
18679,1951,2,0
18680,1951,2,0
18681,1951,2,0
18682,1951,2,0
18683,1951,2,1
18684,1951,2,1
18685,1951,2,0
18686,1951,2,0
18687,1951,2,0
18688,1951,3,0
18689,1951,3,0
18690,1951,3,1
18691,1951,3,1
18692,1951,3,0
18693,1951,3,0
18694,1951,3,0
18695,1951,3,0
18696,1951,3,0
18697,1951,3,1
18698,1951,3,1
18699,1951,3,0
18700,1951,3,0
18701,1951,3,0
18702,1951,3,0
18703,1951,3,0
18704,1951,3,1
18705,1951,3,1
18706,1951,3,0
18707,1951,3,0
18708,1951,3,0
18709,1951,3,0
18710,1951,3,0
18711,1951,3,1
18712,1951,3,1
18713,1951,3,0
18714,1951,3,0
18715,1951,3,0
18716,1951,3,0
18717,1951,3,0
18718,1951,3,1
18719,1951,4,1
18720,1951,4,0
18721,1951,4,0
18722,1951,4,0
18723,1951,4,0
18724,1951,4,0
18725,1951,4,1
18726,1951,4,1
18727,1951,4,0
18728,1951,4,0
18729,1951,4,0
18730,1951,4,0
18731,1951,4,0
18732,1951,4,1
18733,1951,4,1
18734,1951,4,0
18735,1951,4,0
18736,1951,4,0
18737,1951,4,0
18738,1951,4,0
18739,1951,4,1
18740,1951,4,1
18741,1951,4,0
18742,1951,4,0
18743,1951,4,0
18744,1951,4,0
18745,1951,4,0
18746,1951,4,1
18747,1951,4,1
18748,1951,4,0
18749,1951,5,0
18750,1951,5,0
18751,1951,5,0
18752,1951,5,0
18753,1951,5,1
18754,1951,5,1
18755,1951,5,0
18756,1951,5,0
18757,1951,5,0
18758,1951,5,0
18759,1951,5,0
18760,1951,5,1
18761,1951,5,1
18762,1951,5,0
18763,1951,5,0
18764,1951,5,0
18765,1951,5,0
18766,1951,5,0
18767,1951,5,1
18768,1951,5,1
18769,1951,5,0
18770,1951,5,0
18771,1951,5,0
18772,1951,5,0
18773,1951,5,0
18774,1951,5,1
18775,1951,5,1
18776,1951,5,0
18777,1951,5,0
18778,1951,5,0
18779,1951,5,0
18780,1951,6,0
18781,1951,6,1
18782,1951,6,1
18783,1951,6,0
18784,1951,6,0
18785,1951,6,0
18786,1951,6,0
18787,1951,6,0
18788,1951,6,1
18789,1951,6,1
18790,1951,6,0
18791,1951,6,0
18792,1951,6,0
18793,1951,6,0
18794,1951,6,0
18795,1951,6,1
18796,1951,6,1
18797,1951,6,0
18798,1951,6,0
18799,1951,6,0
18800,1951,6,0
18801,1951,6,0
18802,1951,6,1
18803,1951,6,1
18804,1951,6,0
18805,1951,6,0
18806,1951,6,0
18807,1951,6,0
18808,1951,6,0
18809,1951,6,1
18810,1951,7,1
18811,1951,7,0
18812,1951,7,0
18813,1951,7,0
18814,1951,7,0
18815,1951,7,0
18816,1951,7,1
18817,1951,7,1
18818,1951,7,0
18819,1951,7,0
18820,1951,7,0
18821,1951,7,0
18822,1951,7,0
18823,1951,7,1
18824,1951,7,1
18825,1951,7,0
18826,1951,7,0
18827,1951,7,0
18828,1951,7,0
18829,1951,7,0
18830,1951,7,1
18831,1951,7,1
18832,1951,7,0
18833,1951,7,0
18834,1951,7,0
18835,1951,7,0
18836,1951,7,0
18837,1951,7,1
18838,1951,7,1
18839,1951,7,0
18840,1951,7,0
18841,1951,8,0
18842,1951,8,0
18843,1951,8,0
18844,1951,8,1
18845,1951,8,1
18846,1951,8,0
18847,1951,8,0
18848,1951,8,0
18849,1951,8,0
18850,1951,8,0
18851,1951,8,1
18852,1951,8,1
18853,1951,8,0
18854,1951,8,0
18855,1951,8,0
18856,1951,8,0
18857,1951,8,0
18858,1951,8,1
18859,1951,8,1
18860,1951,8,0
18861,1951,8,0
18862,1951,8,0
18863,1951,8,0
18864,1951,8,0
18865,1951,8,1
18866,1951,8,1
18867,1951,8,0
18868,1951,8,0
18869,1951,8,0
18870,1951,8,0
18871,1951,8,0
18872,1951,9,1
18873,1951,9,1
18874,1951,9,0
18875,1951,9,0
18876,1951,9,0
18877,1951,9,0
18878,1951,9,0
18879,1951,9,1
18880,1951,9,1
18881,1951,9,0
18882,1951,9,0
18883,1951,9,0
18884,1951,9,0
18885,1951,9,0
18886,1951,9,1
18887,1951,9,1
18888,1951,9,0
18889,1951,9,0
18890,1951,9,0
18891,1951,9,0
18892,1951,9,0
18893,1951,9,1
18894,1951,9,1
18895,1951,9,0
18896,1951,9,0
18897,1951,9,0
18898,1951,9,0
18899,1951,9,0
18900,1951,9,1
18901,1951,9,1
18902,1951,10,0
18903,1951,10,0
18904,1951,10,0
18905,1951,10,0
18906,1951,10,0
18907,1951,10,1
18908,1951,10,1
18909,1951,10,0
18910,1951,10,0
18911,1951,10,0
18912,1951,10,0
18913,1951,10,0
18914,1951,10,1
18915,1951,10,1
18916,1951,10,0
18917,1951,10,0
18918,1951,10,0
18919,1951,10,0
18920,1951,10,0
18921,1951,10,1
18922,1951,10,1
18923,1951,10,0
18924,1951,10,0
18925,1951,10,0
18926,1951,10,0
18927,1951,10,0
18928,1951,10,1
18929,1951,10,1
18930,1951,10,0
18931,1951,10,0
18932,1951,10,0
18933,1951,11,0
18934,1951,11,0
18935,1951,11,1
18936,1951,11,1
18937,1951,11,0
18938,1951,11,0
18939,1951,11,0
18940,1951,11,0
18941,1951,11,0
18942,1951,11,1
18943,1951,11,1
18944,1951,11,0
18945,1951,11,0
18946,1951,11,0
18947,1951,11,0
18948,1951,11,0
18949,1951,11,1
18950,1951,11,1
18951,1951,11,0
18952,1951,11,0
18953,1951,11,0
18954,1951,11,0
18955,1951,11,0
18956,1951,11,1
18957,1951,11,1
18958,1951,11,0
18959,1951,11,0
18960,1951,11,0
18961,1951,11,0
18962,1951,11,0
18963,1951,12,1
18964,1951,12,1
18965,1951,12,0
18966,1951,12,0
18967,1951,12,0
